subno,block,epsilon,capacity,w0,beta_wm
1,1,0.094283763616028,4.360360737699794,0.91229171843781,12.46968697471469
1,2,0.096498447409513,4.379184218456956,0.919079353197669,12.114706709760144
1,3,0.107058418289211,4.248648292702244,0.870390832059598,12.53049153912429
1,4,0.104779388224825,4.148598148511045,0.899873610268468,12.474030209000553
1,5,0.08392583307122,4.410712864452549,0.926173343830216,12.271700464723802
1,6,0.084131030411369,4.508228857192889,0.912178798245025,11.968925838412337
1,7,0.10838876333177,4.268162187954626,0.919295414248816,12.14925663391089
2,1,0.084192128321646,4.556456523833288,0.954078341796117,12.04021626777853
2,2,0.118179851189735,4.570408433011615,0.951597818467592,11.901019698150707
2,3,0.09773718083981,4.580875565375683,0.955967079061926,11.429886223556654
2,4,0.096518684136154,4.425670544074592,0.969358991779575,12.174192562180275
2,5,0.11400248101205,4.16077792040023,0.942234759126916,11.971913851603485
2,6,0.103731897114485,4.671808469412613,0.961760358255105,12.16004011877455
2,7,0.095055450420415,4.62464744213125,0.96273754113479,12.236968338748254
3,1,0.105336280677912,4.440470080849822,0.93679448404747,11.812842813021717
3,2,0.117655974122858,4.46331725354333,0.93388424210946,12.152861910567824
3,3,0.099937551890218,4.137646061612169,0.947481275025268,11.076750884300676
3,4,0.106967825904408,4.101813924426062,0.949619460840208,11.593877178450688
3,5,0.09676526173323,4.19372718014779,0.940376107188592,11.969053555275254
3,6,0.108058091281614,4.230617352029918,0.953289014114511,12.06470273685862
3,7,0.111622546255506,4.361078957648841,0.93752921044821,10.945475232266933
4,1,0.108784728103594,4.219468469873234,0.943607125027474,12.260554667247915
4,2,0.089102890682037,4.624229740386223,0.955624451067141,11.972993752401607
4,3,0.091154534272349,4.33008587197291,0.931566756598398,12.027420491702776
4,4,0.113972043581505,4.700244531056535,0.95199355878787,11.956002550563293
4,5,0.108338773142533,4.368722396723324,0.949939480151189,12.401868386780187
4,6,0.101250441711687,3.940163322225195,0.940624630452971,12.021806040591096
4,7,0.101979274266935,4.503347225853806,0.935988242265358,12.546882693554442
5,1,0.094293377629818,4.572649082502763,0.905969980210519,12.040504753258674
5,2,0.10696558339507,3.997133065190352,0.907276890264995,12.31384575522767
5,3,0.097735594288035,4.853930822970713,0.905214325804886,12.415798104292367
5,4,0.111936742376648,4.238737500871126,0.907072008620728,11.816050028788029
5,5,0.098059012885998,4.467733781890466,0.904142545465446,11.728124838724632
5,6,0.101480759037166,3.858288082084547,0.912256893822221,11.840370843710105
5,7,0.095917034328542,4.371707157169926,0.884327017988193,11.560208572058235
6,1,0.112081903327188,4.43092804193027,0.966626744068009,11.912741010414802
6,2,0.089784081080313,4.667553136498436,0.959351980951252,11.957401234480711
6,3,0.085922721277929,4.553482546538743,0.951194834529269,12.336080854750245
6,4,0.104495996039432,4.540589569234078,0.953052991236644,11.798266041437866
6,5,0.097184739069332,4.969290394494164,0.948118331474022,12.05718229484837
6,6,0.11910972806243,4.140846470846394,0.967310920263206,11.790298016196068
6,7,0.114280081856965,4.697255940230063,0.946648462402246,11.832073540730988
7,1,0.11386595423508,4.406305548907113,0.97516879310753,11.96822739414902
7,2,0.113611016071704,4.242550241143206,0.975012659112755,11.853295045929485
7,3,0.091381422148175,4.463467013493567,0.975730328564701,11.626804896607542
7,4,0.090672165076074,4.026866781590304,0.964083335918771,11.716685096557985
7,5,0.099143345957692,4.18841933840686,0.976616101216118,11.857026027448587
7,6,0.112746644746256,4.036751494847554,0.973363333782658,11.989208209180093
7,7,0.090868058750785,4.176397603390063,0.967380880224657,11.907409109561202
8,1,0.109614509560923,3.988118245855148,0.943492723776535,12.624541885844206
8,2,0.0967040722819,4.072584531834712,0.938450713765985,11.405664418733531
8,3,0.085767693557444,4.057505834747738,0.931979638729398,11.887385075906005
8,4,0.099055146349756,3.958027796760744,0.944492331590026,12.091512779401876
8,5,0.094622254118808,4.23290840746102,0.918842973720376,12.283157935174296
8,6,0.114936001829966,4.48345262392205,0.941554313017621,12.050541502417998
8,7,0.098173149979796,4.363864570997974,0.957094977012392,11.648942507301062
9,1,0.112239018950292,4.542746224805478,0.939175664459168,11.851938578383908
9,2,0.119439394595776,4.429866004746272,0.945223440082028,11.817202321334294
9,3,0.099341629386028,4.826451971313971,0.921338295986821,12.13398833191709
9,4,0.104202555399371,4.361819025804236,0.948664074670446,11.58441270745402
9,5,0.112869846004022,4.393281062663979,0.923069552716386,12.31800751667929
9,6,0.10439660169763,4.628017225851612,0.926237553019153,12.439147446172019
9,7,0.094952919812493,4.106705790678292,0.951663174191234,11.762632788893239
10,1,0.100922104497788,4.477175103515034,0.925593800856222,11.96139236352623
10,2,0.102477205399053,4.486282548065451,0.940919934590842,12.05588395502419
10,3,0.103319758526349,4.446553142702111,0.931777182251692,12.110953121232448
10,4,0.10234048997996,4.135666308250353,0.926526187081538,12.418817268327903
10,5,0.113336480040817,4.463228861276614,0.942195827746617,11.672784507775175
10,6,0.115398291536186,4.600990989346526,0.921241594586508,12.079058385387343
10,7,0.093580907724761,4.438498994388593,0.921556850454399,12.603637006504915
11,1,0.105598646655326,3.475641526758244,0.697729177634122,11.587953605759875
11,2,0.106948252318502,3.612307396623644,0.681848952317363,11.896180519827666
11,3,0.10404995651017,3.679984839933502,0.663319716621377,11.327701631152708
11,4,0.107662411719378,3.800816313441606,0.673483274774707,11.40635132076735
11,5,0.114890207123722,3.47338951088141,0.683885983233665,11.51881593103568
11,6,0.098392274596467,3.74091637492642,0.684338457070762,12.3172992579617
11,7,0.111494682367263,3.57478962227615,0.672324431222179,11.658571816197863
12,1,0.084334068851247,4.39944197348117,0.968395390533064,12.385039486980675
12,2,0.082706301286949,4.6139900181832,0.970579472162902,12.283583441678598
12,3,0.104000652001027,4.369765812339346,0.948385031279424,11.768153386581348
12,4,0.11336898679412,4.424976385257618,0.962070885369051,12.05809651773208
12,5,0.10350572828172,4.764633023021608,0.988558667081517,12.184396943808055
12,6,0.09929133530164,4.301079715326505,0.958271903934299,12.325035564269498
12,7,0.098765025026303,4.562314593048076,0.967122058374572,11.781218638180222
13,1,0.098352476612147,4.04702754489512,0.912813044378626,12.255616389910585
13,2,0.101498367424117,4.53539839812196,0.920759913117597,12.08018910997415
13,3,0.096881855751714,3.915672708105702,0.922414029265338,11.793791259927985
13,4,0.106037902687391,3.988092049842893,0.908356314425326,11.79324721738387
13,5,0.091234748902507,4.002678897851738,0.918498800169348,11.75709631845057
13,6,0.113571737395343,4.509460997736268,0.903699318708925,12.25240150447621
13,7,0.081201111375094,4.259515339952154,0.921622336260766,12.225870124042595
14,1,0.112842709225575,4.273222800740102,0.908250825714675,12.116674751902726
14,2,0.104839993534327,3.669842182331614,0.902778545374102,12.131606384164005
14,3,0.093294356413687,4.132679218660808,0.906306538718468,12.141780138430994
14,4,0.10960474603676,4.153951230740266,0.898528847306707,11.940790712654294
14,5,0.092228136124039,3.933821788117107,0.908016957027626,11.96596216028814
14,6,0.106186427043073,3.979568582745571,0.922917262331899,12.156485757935865
14,7,0.106762326515874,4.268550649908168,0.930508753565695,11.536975666225338
15,1,0.081515095638976,4.156142425782436,0.938786997339606,12.31465740637021
15,2,0.095174191104188,4.199632710402876,0.940765552053896,12.169390108753563
15,3,0.068318844076781,4.121210165533336,0.9218384472958,11.558022205556476
15,4,0.092482985679195,4.122830035208785,0.927867202079474,12.361259957965112
15,5,0.087388726762068,4.123210816666194,0.930037529830591,12.232637421279108
15,6,0.082389688675711,4.20479107445788,0.93931843435792,11.963595252957612
15,7,0.079585021355032,4.361574615022764,0.923761989960907,12.004845358985117
16,1,0.10559687522661,4.266315635523648,0.948606500904704,11.797123594161288
16,2,0.108325786541685,4.211752044395645,0.961971691859469,12.373043555206303
16,3,0.101541950600878,4.15499742031293,0.96089973625615,12.127856216127158
16,4,0.107688514144256,4.663018930331954,0.963388204110241,11.886100115046993
16,5,0.10668965659492,4.402312991112763,0.960171697331791,11.361539260645548
16,6,0.10598721433648,4.348596942627357,0.959810734772384,11.749524378155954
16,7,0.116726614168772,4.688087766504339,0.978404752210715,11.641611983675867
17,1,0.10731276526155,3.981260816692428,0.834122722656384,11.82797731681519
17,2,0.107518628929428,4.104765748143933,0.834672535596791,11.348748094243282
17,3,0.107738718901342,4.052292336048438,0.832194226288702,12.436434750241457
17,4,0.12198633804265,4.202731037146776,0.82647428864655,12.192774768753992
17,5,0.126138021743223,3.662346642513717,0.834276102312257,11.559332910483294
17,6,0.112021941661844,4.13922163619427,0.836062796089408,11.670123648623878
17,7,0.105001240153162,4.279340320129766,0.834787366953169,11.899291881673
18,1,0.105715344335492,4.187993621697546,0.963257658926241,12.097870169334842
18,2,0.107226867632617,4.417852360479332,0.951202227090018,11.945473977795913
18,3,0.114304527161482,4.388989996129853,0.964899336300899,12.531215778314534
18,4,0.100281390401833,4.51000173180254,0.958613921624943,12.11520984239798
18,5,0.091924406164218,4.501114040110548,0.97294559757419,12.413238651132536
18,6,0.102040840211232,4.343719507120129,0.941727972594905,11.643644068906276
18,7,0.116908865059524,4.836902988852413,0.949052639563539,11.665247128913656
19,1,0.125121830654256,4.579510365319747,0.960950757878163,12.566400718934
19,2,0.127488890991774,4.440189868434645,0.962028090128129,12.515168111030995
19,3,0.115101645060586,4.32911076916204,0.94783687735577,12.325041479535686
19,4,0.125598910816385,4.388039534457513,0.972300288136059,12.066074760350324
19,5,0.123168703107523,4.167338148273746,0.957764323975471,11.862483623566353
19,6,0.125804931774681,4.558879502041204,0.951652942431667,12.363298258837371
19,7,0.121811871100831,4.120437365950642,0.977438676181944,12.092331202318253
22,1,0.119924268561131,4.287113247564388,0.965500531444123,11.953714528651117
22,2,0.095402454577737,4.625477917024092,0.955437494093523,12.0025545574414
22,3,0.098336581186346,4.264583035677502,0.954072486569715,11.963129792308443
22,4,0.126378248568506,4.231249689362308,0.960076834429015,11.726380564901037
22,5,0.105340499664589,3.978539759725364,0.955970787135248,12.14549135072942
22,6,0.103765284162084,3.912713518550438,0.960941358212977,11.77166567099681
22,7,0.099630519893985,4.340700708555848,0.959328277457136,12.43488924066563
23,1,0.10575938192869,4.24961062870756,0.970655577356725,12.342550125743896
23,2,0.077755521898891,4.358720022686538,0.936351250305472,12.013588944366647
23,3,0.104915678631856,4.036873045594486,0.947609847926062,12.40940701881026
23,4,0.08275191650594,4.451973737017862,0.934641144295062,12.325395448763974
23,5,0.105755468697486,4.000461123272814,0.938572329868215,12.754929093367386
23,6,0.107955728337159,4.508469261715254,0.95451010743348,12.365255380926012
23,7,0.09475393865064,4.69002835064691,0.9479968079936,12.554826325756046
24,1,0.112434046403791,4.457064940443254,0.930007412011534,11.960225863256362
24,2,0.096342237431572,4.523180156516382,0.91700686006308,11.988050968714376
24,3,0.094726887068118,4.805420913597894,0.919789755170346,12.433987264314707
24,4,0.101472943820455,4.282392002356815,0.923564391025561,12.171222135357207
24,5,0.094276387313732,4.479808132468248,0.924495579175532,11.65660044669912
24,6,0.107299054103647,4.42180243183387,0.930981940211418,12.082311072045378
24,7,0.09569341878988,4.560760724581778,0.924366209794621,11.918683985963954
25,1,0.091817486115663,4.074013420499004,0.922600969582859,11.89708154818509
25,2,0.074419096410793,4.784893786164961,0.924923798036478,12.168664694757036
25,3,0.107565241029562,4.905529146970219,0.92223221729825,11.93436463004464
25,4,0.106107602244967,4.005270431956321,0.922015277545008,11.798330107487313
25,5,0.091926380013585,4.25456904180931,0.925848871374388,12.526325514262576
25,6,0.079778724282399,3.951208497542849,0.920380403852064,11.756782200117824
25,7,0.094781851476997,3.914404377753023,0.90827456743505,12.106828699893487
26,1,0.095591847925516,3.691786000985602,0.89960924115626,11.88812207846946
26,2,0.076002550217119,3.84731718576987,0.889636743202795,11.42540240430262
26,3,0.090210884130619,3.968556565260952,0.899524723278528,12.1260290220568
26,4,0.097012392782772,4.40779333877314,0.892266872321557,12.256416271545447
26,5,0.08592126191812,4.032519971012629,0.888259963250099,11.989716261068969
26,6,0.076751191206245,4.01801916280826,0.91163432962817,12.234598865145477
26,7,0.078035506195844,3.734087166508987,0.897485060509393,12.414404726502523
27,1,0.091991679806032,3.9560814813234,0.852986726340998,11.861088378245606
