subno,block,epsilon,capacity,w0,beta_wm
1,1,0.083238750300459,4.365240714504549,0.916192982609695,12.248467910417288
1,2,0.087325842627874,4.233645435826092,0.917899043122413,11.998990407990053
1,3,0.108051752950784,4.378985228875475,0.899025607692214,12.284776072135157
1,4,0.107150096697218,4.285981826169536,0.915763406268263,11.558372761427014
1,5,0.074500980746346,4.402674106266831,0.904650842568926,12.179351703740506
1,6,0.083628854473683,4.407792596024734,0.891377146644626,11.888656789351883
1,7,0.09871264653708,4.410372921599136,0.928071810639234,12.074689222031244
2,1,0.083139342431637,4.215372917222566,0.954552056341997,12.33622360446749
2,2,0.109111523829325,4.052749591888134,0.960831503120464,11.926540632889374
2,3,0.085115886612009,4.437285035427904,0.955027573504119,12.087541699101564
2,4,0.097538039592933,4.529996451848276,0.965243262288414,12.108594959050443
2,5,0.090962708216339,4.430578995160024,0.958768260852122,12.115246245977081
2,6,0.105107425682414,4.464344981557376,0.960832998024087,11.720425516591359
2,7,0.10583079214512,4.539948497481627,0.987082285140129,11.700531864155238
3,1,0.124275797853847,4.308495620821572,0.944212353883218,12.024720123686912
3,2,0.101841683123856,4.49949935726268,0.96357426119702,11.468740692664326
3,3,0.114313333584569,4.316554034190796,0.95351036566446,11.483539607233713
3,4,0.093968489144362,4.26364661405497,0.941245386892901,11.61504779650226
3,5,0.120269891286893,4.440689964585364,0.929187834444026,11.778589068578816
3,6,0.116745941901469,4.330145871376504,0.974937373467336,12.255840144975192
3,7,0.089726842498668,4.20512429955641,0.964621052250001,11.918930477985278
4,1,0.099379893697317,4.193247907672456,0.933336567965107,12.095700198358243
4,2,0.091381557196613,4.125148483324954,0.936793167405355,11.459601093601892
4,3,0.108424259826848,4.213464815256046,0.938032993956735,11.877848392073362
4,4,0.107910774444354,4.376567161955178,0.942434361220041,11.898461728690066
4,5,0.099141954866519,4.160828400294924,0.920756971332192,11.84471560141974
4,6,0.106488868331356,4.359569649343806,0.941900981011211,12.147992247599712
4,7,0.086442059723104,4.302971291816096,0.941688514905636,11.976701940232765
5,1,0.105909955265121,4.269254509809884,0.918347870735381,12.08356488670775
5,2,0.100876674357335,4.347028248464174,0.908788715974938,12.334156119917024
5,3,0.099182260691732,4.290472218005439,0.908791418915812,11.741654188852317
5,4,0.100599508069663,4.221472924467572,0.906800079168609,12.110289504237613
5,5,0.110459846941935,4.350708959704938,0.915158583160593,11.889269735099157
5,6,0.098287182267925,4.090107261529946,0.895014518819156,11.837337102766837
5,7,0.108159798097803,4.166193303293764,0.902836127734926,12.208373812957367
6,1,0.111540472391759,4.459858768343656,0.966209894198502,12.161270282525741
6,2,0.102402562395951,4.47148597353702,0.961675116591793,11.963105304951995
6,3,0.106407449032576,4.454449048557951,0.957273604888946,12.045097592409107
6,4,0.110414122668174,4.19909571810107,0.931462909555312,11.883205605921429
6,5,0.12696491898193,3.984286397464356,0.935553045362846,11.81288028284746
6,6,0.111033744200566,4.228144256178562,0.969585588489763,12.013949916791775
6,7,0.107701584990591,4.436012727703948,0.934121610894017,12.050676725480878
7,1,0.09380294123379,4.413050418739074,0.96128558199227,12.277257253862714
7,2,0.110212989969421,4.268963198818262,0.9647070827183,12.290236816750564
7,3,0.105456719796615,4.22386720021393,0.994553476112067,11.653295607436156
7,4,0.099519101714651,4.24761544597295,0.967566837448682,11.48982655162573
7,5,0.083260350310476,4.11968885048869,0.951618010322732,12.017683016980264
7,6,0.096957039556617,4.306912655123358,0.962410545037913,11.508034056643668
7,7,0.105630656927515,4.416780815335926,0.962308555120559,12.21602954328202
8,1,0.091359389028961,4.113501791713505,0.947049664975884,12.007148906074377
8,2,0.096693433888908,4.006758459104598,0.946637315668461,11.349749988838983
8,3,0.101537819231278,4.259884284599852,0.950825286772897,12.135064147146416
8,4,0.111892715221475,4.251967962162496,0.966141401802433,12.112974506022184
8,5,0.115528921474411,4.007534494934848,0.943722857835046,11.934277393630259
8,6,0.122725511471356,4.25630160243142,0.940613107747028,11.729245099185396
8,7,0.108622520803646,4.109555123553942,0.934744653599892,11.727440125653917
9,1,0.100866929397681,4.325545269418312,0.934811462555508,12.00319065910901
9,2,0.092939846079479,4.575032918193924,0.944781025807245,12.180641686994347
9,3,0.109890533502182,4.42942666853364,0.931604367567215,12.06841009812707
9,4,0.091327079674314,4.089439870378609,0.941368802377318,12.252138485862588
9,5,0.08467600105745,4.43860620635846,0.941221283972723,12.403056734736811
9,6,0.084761491044103,4.223545234886042,0.949028531068375,12.118777839246453
9,7,0.104640201275352,4.195835766785626,0.933675164011928,12.168654077051626
10,1,0.097374210181457,4.287194075421336,0.926251871418223,13.114338206480587
10,2,0.101987845107508,4.541770853968672,0.943217951143194,11.965369707095663
10,3,0.101605994525485,4.74103463148111,0.940150937192052,12.223691004201276
10,4,0.094437801303319,4.313447907731256,0.92020323100564,11.732210413013927
