"subjID"	"choice"	"gain"	"loss"
1	1	64	0
1	2	0	0
1	3	0	0
1	4	69	0
1	5	80	0
1	6	0	0
1	7	112	0
1	8	0	0
1	1	59	0
1	1	52	0
1	4	77	0"subjID"	"choice"	"gain"	"loss"
1	1	64	0
1	2	0	0
1	3	0	0
1	4	69	0
1	6	0	0
1	7	147	0
1	8	0	0
1	7	132	0
1	1	52	0
1	4	81	0
1	5	134	0
1	7	163	0
1	7	150	0
1	7	139	0
1	7	123	0
1	7	112	0
1	7	102	0
1	7	90	0
1	7	81	0
1	7	70	0
1	1	69	0
1	1	62	0
1	1	54	0
1	1	49	0
1	1	43	0
1	4	132	0
1	4	118	0
1	4	105	0
1	4	100	0
1	4	92	0
1	5	200	0
1	5	188	0
1	5	169	0
1	5	143	0
1	5	129	0
1	5	121	0
1	5	110	0
1	5	99	0
1	5	86	0
1	5	78	0
1	5	70	0
1	5	63	0
1	5	56	0
1	7	200	0
1	7	181	0
1	7	158	0
1	7	140	0
1	7	128	0
1	7	116	0
1	7	108	0
1	7	96	0
1	7	87	0
1	1	99	0
1	1	93	0
1	1	81	0
1	1	75	0
1	1	66	0
1	1	58	0
1	1	52	0
1	1	47	0
1	1	42	0
1	4	200	0
1	4	181	0
1	4	155	0
1	4	139	0
1	4	125	0
1	4	114	0
1	4	104	0
1	4	94	0
1	4	86	0
1	4	75	0
1	4	68	0
1	6	0	0
1	5	200	0
1	5	179	0
1	5	166	0
1	5	147	0
1	5	131	0
1	5	118	0
1	5	109	0
1	5	99	0
1	5	88	0
1	5	79	0
1	5	71	0
1	7	200	0
1	7	183	0
1	7	166	0
1	7	148	0
1	7	127	0
1	7	114	0
1	7	108	0
1	7	100	0
1	7	89	0
1	7	84	0
1	1	97	0
1	1	87	0
1	1	77	0
1	1	71	0
1	4	161	0
1	4	146	0
1	4	128	0
1	4	110	0
1	4	98	0
1	5	200	0
1	5	182	0
1	5	162	0
1	5	148	0
1	5	133	0
1	5	119	0
1	5	108	0
1	5	96	0
1	5	86	0
1	7	200	0
1	7	173	0
1	7	160	0
1	7	145	0
1	7	127	0
1	7	114	0
1	7	100	0
1	7	90	0
1	4	153	0
1	4	140	0
1	4	131	0
1	4	117	0
1	5	177	0
1	5	162	0
1	5	139	0
1	8	0	0
1	1	124	0
1	1	112	0
2	1	79	0
2	2	0	0
2	3	0	0
2	4	84	0
2	5	93	0
2	6	0	0
2	7	125	0
2	8	0	0
2	7	115	0
2	7	104	0
2	7	91	0
2	7	82	0
2	7	74	0
2	7	65	0
2	7	58	0
2	7	51	0
2	7	45	0
2	7	39	0
2	7	35	0
2	7	31	0
2	7	27	0
2	7	25	0
2	7	22	0
2	7	19	0
2	7	17	0
2	7	15	0
2	7	13	0
2	7	12	0
2	7	11	0
2	7	9	0
2	5	200	0
2	5	174	0
2	5	153	0
2	5	143	0
2	5	131	0
2	5	121	0
2	5	109	0
2	5	98	0
2	5	84	0
2	5	73	0
2	5	67	0
2	5	59	0
2	5	53	0
2	5	48	0
2	5	42	0
2	5	37	0
2	5	32	0
2	5	28	0
2	5	24	0
2	5	22	0
2	4	200	0
2	4	179	0
2	4	163	0
2	4	150	0
2	4	141	0
2	4	127	0
2	4	115	0
2	4	106	0
2	4	95	0
2	4	88	0
2	4	78	0
2	4	71	0
2	4	64	0
2	4	54	0
2	4	48	0
2	4	41	0
2	1	198	0
2	1	179	0
2	1	158	0
2	1	147	0
2	1	129	0
2	1	115	0
2	1	98	0
2	1	85	0
2	1	74	0
2	1	67	0
2	1	62	0
2	1	56	0
2	1	50	0
2	1	44	0
2	1	39	0
2	7	200	0
2	7	176	0
2	7	157	0
2	7	136	0
2	7	121	0
2	7	110	0
2	7	96	0
2	7	90	0
2	7	80	0
2	7	71	0
2	7	63	0
2	7	54	0
2	7	47	0
2	7	41	0
2	7	36	0
2	5	200	0
2	5	181	0
2	5	159	0
2	5	142	0
2	5	126	0
2	5	113	0
2	5	99	0
2	5	88	0
2	5	81	0
2	4	197	0
2	4	179	0
2	4	161	0
2	4	142	0
2	4	134	0
2	4	123	0
2	4	111	0
2	4	101	0
2	4	89	0
2	4	81	0
2	5	152	0
2	5	141	0
2	5	126	0
2	5	113	0
2	5	102	0
2	5	94	0
2	5	88	0
2	7	200	0
2	7	180	0
2	7	163	0
2	7	150	0
2	7	130	0
2	7	118	0
2	7	106	0
2	7	97	0
2	7	87	0
2	7	75	0
2	7	65	0
2	1	125	0
2	1	115	0
2	1	105	0
2	1	95	0
2	1	83	0
2	1	70	0
2	4	174	0
2	4	160	0
2	4	145	0
2	4	126	0
2	4	112	0
2	4	104	0
2	4	92	0
2	4	83	0
2	4	70	0
2	5	200	0
2	5	186	0
2	5	172	0
2	5	151	0
2	5	134	0
2	5	120	0
2	5	109	0
2	5	97	0
2	5	88	0
2	5	78	0
3	1	64	0
3	1	58	0
3	1	51	0
3	1	46	0
3	8	0	0
3	7	126	0
3	7	108	0
3	7	95	0
3	7	84	0
3	7	75	0
3	6	0	0
3	5	141	0
3	5	123	0
3	5	112	0
3	5	101	0
3	5	90	0
3	5	81	0
3	5	71	0
3	4	128	0
3	4	112	0
3	4	102	0
3	4	91	0
3	4	82	0
3	4	75	0
3	4	66	0
3	3	0	0
3	2	0	0
3	1	69	0
3	1	60	0
3	1	54	0
3	8	0	0
3	7	200	0
3	7	179	0
3	7	163	0
3	7	151	0
3	7	136	0
3	7	124	0
3	7	110	0
3	7	97	0
3	7	91	0
3	7	82	0
3	6	0	0
3	5	200	0
3	5	182	0
3	5	165	0
3	5	147	0
3	5	137	0
3	5	124	0
3	5	111	0
3	5	103	0
3	5	93	0
3	4	155	0
3	4	139	0
3	4	127	0
3	4	114	0
3	4	104	0
3	4	88	0
3	2	0	0
3	3	0	0
3	1	91	0
3	1	83	0
3	8	0	0
3	7	200	0
3	7	184	0
3	7	163	0
3	7	144	0
3	7	131	0
3	7	121	0
3	7	107	0
3	7	96	0
3	7	86	0
3	7	76	0
3	6	0	0
3	5	200	0
3	5	182	0
3	5	171	0
3	5	150	0
3	5	140	0
3	5	125	0
3	5	106	0
3	5	95	0
3	5	83	0
3	4	162	0
3	4	141	0
3	4	122	0
3	4	110	0
3	4	103	0
3	4	90	0
3	3	0	0
3	2	0	0
3	1	116	0
3	1	108	0
3	1	103	0
3	1	96	0
3	7	200	0
3	7	180	0
3	7	160	0
3	7	141	0
3	7	132	0
3	7	121	0
3	7	108	0
3	7	98	0
3	5	200	0
3	5	179	0
3	5	161	0
3	5	147	0
3	5	131	0
3	5	118	0
3	5	110	0
3	5	100	0
3	5	94	0
3	4	171	0
