subno,block,alpha,beta
1,1,0.3688910925477993,6.731676065228081
1,2,0.3816607063181303,7.308507632720459
1,3,0.37024033027989756,6.769712572825508
1,4,0.39090991067891545,7.810389347953237
1,5,0.2444040973242058,4.057170435928048
1,6,0.30671407580599686,3.808814159762751
1,7,0.36984700055945713,6.9028532884252725
1,8,0.37873932685811157,7.2341674204200315
1,9,0.22128731404556157,2.3154916016562264
1,10,0.3958574978114225,4.725735938059106
1,11,0.3863593244921054,7.620716056592139
1,12,0.37220331309597243,6.816120741262166
1,13,0.3809468947804469,7.300025939748251
1,14,0.33362836384717015,5.409044903791032
1,15,0.264281088619799,3.8065530051544445
1,16,0.3632410111348399,5.812693023522354
1,17,0.3287532390902565,5.4601636342094295
1,18,0.37041922620742196,6.924753742869985
2,1,0.37890403922316856,7.309673959547628
2,2,0.3937994196360137,7.752570450852134
2,3,0.36889815607357646,6.935089463652215
2,4,0.3878396741386081,7.59158891845516
2,5,0.3695099106233891,6.810060482342948
2,6,0.3797193994206975,7.304609422543991
2,7,0.3832323907151571,5.508543340927445
2,8,0.3690917604498521,6.9262559850634196
2,9,0.36706775183958584,5.618966342128372
2,10,0.3337921552419564,5.083450932744535
2,11,0.3963067102735918,5.939284500720343
2,12,0.38421118299890916,4.946314008214071
2,13,0.39076015692566773,7.811211747902111
2,14,0.3702578596122797,6.8954507366623785
2,15,0.3575729087304324,6.707574792670701
2,16,0.36921444448579327,6.92261583034117
2,17,0.37886625065140433,7.33758793248481
2,18,0.34443448226972223,6.800813903793254
3,1,0.25638597700466753,5.722388965050597
3,2,0.36402919380301235,4.658867164871241
3,3,0.37655164446757045,5.0306954317724815
3,4,0.37836256315928424,7.307376812611421
3,5,0.368470152379151,6.899515565639562
3,6,0.36644076905831297,6.683091146192328
3,7,0.3693948590899901,6.89243367702083
3,8,0.38437068761307863,5.507032378732287
3,9,0.32144386415282417,5.133506879529139
3,10,0.3830317073173639,5.413913664157422
3,11,0.3521142239721412,5.968396894567921
3,12,0.3964492701050949,5.632134906765863
3,13,0.3570507906657048,5.840797026322646
3,14,0.37815258081516173,7.330868029283805
3,15,0.3474817804532568,6.497485521615348
3,16,0.36926243763359773,6.900906192920514
3,17,0.368864941858911,6.923383041657656
3,18,0.3416550731756344,4.91603363052653
4,1,0.3830892446416001,7.557941885432805
4,2,0.3774868799853078,5.051073583644883
4,3,0.3342924461752119,5.2292503246151725
4,4,0.36971527867134674,6.843590335880143
4,5,0.369921650790477,4.953926663159276
4,6,0.2955375557849941,5.777951068508281
4,7,0.36927284472514693,6.832859188534592
4,8,0.36999011366333645,6.820935340017175
4,9,0.30563240520229296,4.736213136388749
4,10,0.38716163816524507,7.602032643418679
4,11,0.3644033137786702,5.4802771525815945
4,12,0.34641639518248457,5.448672249073841
4,13,0.34452835520631586,5.84567655069948
4,14,0.3373228287032523,4.814938471498973
4,15,0.36267275607212324,4.601906624483927
4,16,0.37780456358918907,7.353808874382174
4,17,0.31227692680410307,4.688264954578762
4,18,0.36953652684437555,6.8693106954992675
5,1,0.3483794724139384,6.451924984042135
5,2,0.3692341231918657,6.883224251682074
5,3,0.3025503937743373,5.1101617867053735
5,4,0.30761560864705245,4.317277970635586
5,5,0.3802784703627406,4.368087668851327
5,6,0.3679451867082423,6.790479949788734
5,7,0.3788348043539619,7.308359073886865
5,8,0.367445100693276,6.891778038324596
5,9,0.27922009900917344,4.067288621229748
5,10,0.32044956540424785,3.326981144491347
5,11,0.30097571554537356,5.539414315533934
5,12,0.34993569094046484,3.9554212825782664
5,13,0.37211404144464,6.805778004158718
5,14,0.28947815637143515,4.9416197610616655
5,15,0.33522139908015997,4.237148917794356
5,16,0.3098674197430524,3.552275862464192
5,17,0.36924287900308045,7.195784162758833
5,18,0.40613322249028216,3.6258547260147935
6,1,0.370912969230654,6.81058493931633
6,2,0.2683550027095699,4.207560612080002
6,3,0.37879585810975075,7.301715876260751
6,4,0.3704151688032158,6.915287222224917
6,5,0.379721609172554,5.4037159381806035
6,6,0.3696925052387925,6.840440508975888
6,7,0.3780479037060134,5.879412545586378
6,8,0.3781292098890199,7.259601076590364
6,9,0.2570459226715409,5.651025774200886
6,10,0.3849849098972468,7.521098437658118
6,11,0.36301294622465274,6.998076826315733
6,12,0.36897574199283556,6.904895311883221
6,13,0.3305485479052417,5.0814974001727045
6,14,0.37882297501437506,7.335452001711881
6,15,0.369839303959744,6.837391490815527
6,16,0.34917683381875386,4.586110417289116
6,17,0.3716695486409233,6.95146609017224
6,18,0.3618732950208726,6.960090678999592
7,1,0.20551651702317686,4.365810879088549
7,2,0.3679921614867791,7.117309322319563
7,3,0.3706824629726434,7.0450607573009885
7,4,0.3684827288505947,7.103439108807586
7,5,0.37548208945456324,7.526447360944785
7,6,0.3296219865567964,5.4656837267337455
7,7,0.38522524130342933,7.749668805809242
7,8,0.31176043497125766,5.770170210741133
7,9,0.2596218587587376,3.8743828059180996
7,10,0.361378036896359,6.325632746700581
7,11,0.3552247345026084,6.666447944821361
7,12,0.3976365095824518,7.98902008196458
7,13,0.3668293319282855,6.957345080059074
7,14,0.368084586316648,6.9737755836010695
7,15,0.36943464413870586,6.919066339527634
7,16,0.37811829797030694,7.295466105146578
7,17,0.37843114419065227,7.250243683844116
7,18,0.38627756927192247,7.564904367505944
8,1,0.3694657152251242,6.879908581619724
8,2,0.37080052139544695,6.866208074836797
8,3,0.3360872568276651,3.1516909194064175
8,4,0.37789862800199453,7.145682177239491
8,5,0.3681659971054416,6.92284618852184
8,6,0.2631397868393704,3.926058626250057
8,7,0.3780546142457559,7.511465525440761
8,8,0.38693471073614194,7.589748154475932
8,9,0.3232060510144594,5.7520897962573985
8,10,0.38560694009477214,7.6127197608311965
8,11,0.3155659541634484,5.400212814832452
8,12,0.371604162682491,6.821083632371427
8,13,0.3691126025354873,6.887086715224928
8,14,0.3854535860508286,5.482737588920393
8,15,0.377474801437486,7.336284557256704
8,16,0.3692863893550898,6.931629329472933
8,17,0.25794248977303835,3.1562533129658963
8,18,0.3786891080964675,7.31333426567921
9,1,0.37658741732700485,3.8437241841141594
9,2,0.3681618971942106,6.957520518292671
9,3,0.38097361539718083,3.927283393819396
9,4,0.36743899759668885,6.858957543048824
9,5,0.36732152397720974,5.122346076171978
9,6,0.3649004398230924,6.137493328421116
9,7,0.39695708837265375,5.22476851484287
