subno,epsilon_t1,capacity_t1,w0_t1,beta_wm_t1,epsilon_t2,capacity_t2,w0_t2,beta_wm_t2,epsilon_t3,capacity_t3,w0_t3,beta_wm_t3,epsilon_t4,capacity_t4,w0_t4,beta_wm_t4,epsilon_t5,capacity_t5,w0_t5,beta_wm_t5,epsilon_t6,capacity_t6,w0_t6,beta_wm_t6,epsilon_t7,capacity_t7,w0_t7,beta_wm_t7,epsilon_t8,capacity_t8,w0_t8,beta_wm_t8,epsilon_t9,capacity_t9,w0_t9,beta_wm_t9,epsilon_t10,capacity_t10,w0_t10,beta_wm_t10,epsilon_t11,capacity_t11,w0_t11,beta_wm_t11
1,0.09529925346488259,4.255374318952977,0.9098113590318287,12.153628558079825,0.10824721657117356,4.267982162954568,0.9117502346734166,12.037428805976756,0.097009377764848,4.331985043852872,0.908469010041086,12.2826854813781,0.09959899804626315,4.248328883469936,0.909529593505705,12.095390117118185,0.09180127490477771,4.354956118466622,0.9104258342207673,12.033329266727591,0.09683389515346785,4.40436331292946,0.9090333503636522,11.954311605400038,0.10048123777539529,4.252159476174592,0.9087501908107222,12.287839648877194,0.10044972077173943,4.232359343738477,0.9107158391827447,12.235828121731624,0.10151391921445414,4.174882612399039,0.9108308886412313,12.086662195084221,0.10294126523902657,4.329124733267108,0.90201203603358,11.974884755428928,0.09568480817994085,4.318977914553244,0.9111702799099072,12.123534150927195
2,0.09614237951647304,4.4623148298532715,0.963076672126876,12.139552321429568,0.09491351606485972,4.660662707238637,0.9605808152586613,12.175187430195805,0.10134538186204214,4.512949271177038,0.956819269946003,11.98774815154178,0.09707507202455905,4.456123866639541,0.9649997088318416,12.008982681069249,0.09668653121568242,4.3814680672265585,0.9631911341816188,11.999300646033221,0.09777178049264271,4.617815824915662,0.9649200643223212,11.903935511679075,0.09803424394015314,4.590797619137449,0.9608597888004885,12.189919887141597,0.09470191463066072,4.462156646297418,0.961256054732153,12.313019097187949,0.08926337933207715,4.291517357291085,0.9652856107419855,12.008144023444402,0.09809193699131344,4.356116609948914,0.9593303034683619,12.02045034011424,0.10610528143790186,4.474214708961404,0.9619533465050207,12.028619485761427
3,0.11001266148979126,4.27618962889726,0.9463232161587943,11.756367270232635,0.10730079736573729,4.3002013318499435,0.9469930988410297,11.814799193374181,0.10662050455224943,4.275524401465419,0.9427105419676741,11.659366330105959,0.1108871814592381,4.282177715524137,0.9465553601763802,11.757725678216746,0.10873456848480914,4.337736537406899,0.9530412325427088,11.792201130232357,0.11018711867659328,4.280282785859224,0.9477223194813008,11.673728101223839,0.1064368886695977,4.297782991927577,0.9428402129958329,11.69770677397214,0.108435943557272,4.264841420287636,0.9451746955545872,11.69404049063896,0.10795005919670915,4.330309893667403,0.9421322941228615,11.699825109586143,0.10818942000766658,4.255086836563445,0.9408536061312036,11.794926484191203,0.10196569677480315,4.269877246635412,0.9462398939945464,11.680974005827577
4,0.10229727609467995,4.304676552075193,0.9406060587035187,11.980559913499487,0.11150048658274128,4.299972896206991,0.9349480969211135,11.912311023887508,0.10208324082294858,4.383751651155889,0.9441920349072002,12.169646940405903,0.10231526458925541,4.304934144801526,0.9405805940823662,11.972757269692972,0.09988133829801585,4.247399672809066,0.936420508256611,11.90014588599654,0.10853892893743743,4.393539943525304,0.9464555515338181,11.984577693635481,0.11023751664997443,4.117938387451796,0.939601462621631,12.072695318215196,0.10162692426392302,4.248898657766413,0.9416153502680112,12.082822128608976,0.10600201082309771,4.372075212770651,0.9374163698121201,11.97898159980495,0.10080097840032913,4.295818129918239,0.9366887317457505,12.081416142836401,0.10041069961325728,4.326525105332513,0.9430747236993582,11.927376632614223
5,0.09912900938806347,4.205394725409193,0.905194058674651,11.975581546021589,0.10116658332732156,4.195947120873513,0.9033232540466838,11.871779682595994,0.10091258627732527,4.337168498954271,0.9037513803109983,11.959271842294244,0.09928225803860911,4.206921374980072,0.9053579316440216,11.945643956647643,0.10335360367021629,4.247891060753674,0.9079624735013451,12.029235050076865,0.1025816401718923,4.067958979423608,0.9077455467225121,11.791323816918688,0.10409283038957472,4.116840819504544,0.9061851684036641,11.961945333512132,0.10522910260746543,4.308672445715468,0.9004688100463409,11.859214216965407,0.08951293983938201,4.131585200965533,0.9079920422002823,11.888246040769898,0.10355818216255928,4.316711659485467,0.9088936840691779,12.005892401198546,0.09510672043540729,4.228248448486702,0.902659362622874,12.096149068594524
6,0.10673258196735985,4.370986011369613,0.9549738193419137,11.9931163240097,0.10701310646604258,4.3428284384630675,0.9544200535916058,11.932375485188896,0.10326560724479843,4.571420871396021,0.9560434664178068,11.95486328469415,0.1074468345179049,4.365947204102927,0.9549598083725702,11.986202221530984,0.11092355066593529,4.31904755569808,0.9508402528544542,11.990026530132626,0.11286244036653258,4.38355500136248,0.9573856204030046,12.03267371920251,0.106790263939918,4.350707064123578,0.9509477084657725,12.093330548840083,0.10737460895523086,4.318057442151475,0.9542314612055092,11.949016836979377,0.105556943021151,4.427651896393454,0.9598520766684047,11.951121356120742,0.10275332885868085,4.357702605744276,0.9528773434830249,11.783099966063293,0.10772630725335715,4.39772727455457,0.9568969868713538,11.762020167049906
7,0.097985293238514,4.271588529385893,0.9636033145890628,12.030487851127873,0.09876016671072287,4.223437569124711,0.9643867884271659,11.905145494185504,0.10175551528368086,4.220108288825524,0.97247934741817,11.845522254204846,0.09751585254552021,4.277827156658442,0.9636223529011106,12.025299170716218,0.09926282850129786,4.2852683692417415,0.9663500126789318,11.921766120940159,0.09637628855177385,4.286605599619125,0.957622997257867,11.91720323623415,0.09650283961053199,4.23083578426328,0.9652787507930639,12.072786826249422,0.10040559109373401,4.302992945775421,0.96448046425759,12.104152939992488,0.09258116082044786,4.257084661496317,0.9666743765049829,11.932449091559905,0.09848065698594043,4.2112305820332745,0.9625644211693852,11.983412290649195,0.10441571082795813,4.191719581199794,0.9570022546357496,12.24460162610366
8,0.10249175915026311,4.240531218338348,0.9450904124163186,11.834747056304643,0.10639086995383915,4.203280674219479,0.947692181266217,12.013894268035617,0.09983897538265614,4.1652088587970555,0.9394153816589047,11.998820872111281,0.10600149564782765,4.203969117036406,0.9449004978654185,12.037600146850927,0.10690861587429071,4.143643388357238,0.9471048983430916,11.85655716665022,0.10461766658050686,4.299604857087516,0.9457788654805418,12.112311627433465,0.10279879722392915,4.11963587489528,0.9395778849632145,12.14827591847302,0.095855084188294,4.284960937520497,0.94599444745268,11.935759530155414,0.10373365863551343,4.332432268095469,0.9326819309827695,11.955254588122967,0.10375745486589615,4.21019953156904,0.9434436166897981,12.088229976013867,0.09888105522816486,4.345972591248704,0.9354956883805366,11.900457529516116
9,0.10387184427454893,4.4506106979117686,0.9451543306337887,12.034903699417073,0.10755325647569057,4.50063594353782,0.9454445729614565,11.98678649456292,0.10677742369223028,4.469841043694834,0.9364816793036052,11.986761384404838,0.09988946400938686,4.492244013897641,0.9398717678332624,12.024578307321429,0.09558601171865157,4.325347419222088,0.9394986624800445,12.170695654446844,0.099928858869859,4.488700519428958,0.9395427483093447,11.993769030584104,0.10157871531173827,4.398422138193848,0.9360423829364597,11.980003711630346,0.09549195106970529,4.532878936973532,0.946918763997714,12.176480864058245,0.09819056850334358,4.573991190398973,0.9462667779209362,11.863864115979107,0.09657618748104028,4.609428873968917,0.9376440385784777,11.872373453543116,0.10293271317961986,4.6424273452077625,0.9419795498360892,12.133567669963952
10,0.10019841855958643,4.430642926471532,0.9316898714722357,12.126809039646878,0.100874517704976,4.422717323593644,0.9327689961909658,11.950615760038094,0.10448217681498771,4.435485135363526,0.9299730539382597,12.128932372539746,0.09937531870207703,4.429626342791646,0.93166386473288,12.183692006563614,0.10097056721573686,4.502738860149795,0.9309982850438852,12.19239322116944,0.09485334752646087,4.418839895381616,0.9264804096201343,12.239461139280738,0.10078211051098629,4.4049652705109645,0.9341554289286336,12.095247022468778,0.10571677563814243,4.5035283963102355,0.9269029778052161,12.46161379051662,0.09602406183534329,4.435582372774101,0.9367127672583949,12.194372992561236,0.10118558373551687,4.486903380026605,0.9355930306736361,12.041829680849373,0.09701711360482627,4.352591765264941,0.9350779736955473,12.172197464862817
