subno,block,alpha,beta
1,1,0.358993877952462,7.201524805690906
1,2,0.351471888049326,7.049449525894789
1,3,0.357631126997812,6.929154984021925
1,4,0.358986490354538,7.008921274380888
1,5,0.353961329094847,7.134215841861833
1,6,0.360463932243554,6.995049935872165
1,7,0.362285507385063,7.120041635903835
2,1,0.400558012286778,7.561379437685551
2,2,0.405647511751975,7.650050153516577
2,3,0.416473157418652,7.551407381833413
2,4,0.399999755468028,7.763688263671422
2,5,0.408897079522131,7.399157799712809
2,6,0.396717080931874,7.475369338180563
2,7,0.394894997674476,7.712396567897514
3,1,0.38788663016948,7.046053067717591
3,2,0.387649840267582,7.13612457539179
3,3,0.388318555356458,7.05455875927303
3,4,0.386764232622725,7.045155157308441
3,5,0.390485927868068,7.13805427525297
3,6,0.380377062038234,7.14106487775368
3,7,0.390621609685926,7.021048651126097
4,1,0.372632105922786,6.784242925941039
4,2,0.377488735458619,6.810678670378906
4,3,0.388933177318766,6.621994703342862
4,4,0.37891511032892,6.737694730086898
4,5,0.380368669684927,6.535312997122105
4,6,0.379896290305339,6.618426650173639
4,7,0.377968576470261,6.93031556811209
5,1,0.369275228104167,5.93964237516589
5,2,0.355480451630554,6.101942339696265
5,3,0.36197767515249,6.006888507684478
5,4,0.362497381269022,5.987475781624179
5,5,0.353292268821848,5.987768961115717
5,6,0.362520179620355,5.909939376474171
5,7,0.362258157758534,6.059023667735717
6,1,0.382901231678366,7.436632600724699
6,2,0.380755820964617,7.500330140790084
6,3,0.386515473424143,7.474038808073527
6,4,0.388995231623051,7.422710998521826
6,5,0.38248897568838,7.50600109632342
6,6,0.383859925677691,7.298285072976944
6,7,0.385413663459181,7.632438018308927
7,1,0.38531343468944,7.560775142160425
7,2,0.389981442026921,7.465755648618459
7,3,0.381487650463296,7.654658123124825
7,4,0.378384949874628,7.697021233538642
7,5,0.374184612231946,7.734403888232896
7,6,0.376262380756614,7.742521370105972
7,7,0.381264216380637,7.599233478398394
8,1,0.376731143924976,7.218151530187176
8,2,0.376411013051394,7.313913141470226
8,3,0.379891672672969,7.121557925665907
8,4,0.382805043047429,7.275137499693386
8,5,0.373396351552774,7.080982720132408
8,6,0.371689688729158,7.251653317264091
8,7,0.375240497282329,7.291278215767109
9,1,0.41008337708023,6.764350001611343
9,2,0.406603632497958,6.873497089828352
9,3,0.40894118789028,6.71624786016608
9,4,0.404109824626915,7.001562686308848
