subno,block,alpha,beta
1,1,0.35315697473463,7.163060155575192
1,2,0.354922226048004,7.011574292787236
1,3,0.365272566181001,7.070780598489844
1,4,0.359639862820152,7.109716053157693
1,5,0.360065865327686,7.227235779871992
1,6,0.356159822299924,7.185999016341385
1,7,0.371247078525853,6.999594915920783
2,1,0.403699792478975,7.648505770557276
2,2,0.397354823784282,7.626098117659834
2,3,0.408186419483946,7.507300441325996
2,4,0.397530346246642,7.763143327942336
2,5,0.401696106297052,7.730088335528796
2,6,0.40534222400996,7.660352572970741
2,7,0.408358669892437,7.676264446291915
3,1,0.382117313075755,7.147695193526509
3,2,0.383082702531867,7.091848808975078
3,3,0.385932158482266,7.01330171652647
3,4,0.386873339104987,6.982335645468184
3,5,0.38634192738937,7.261751354677362
3,6,0.38926230461336,7.029008251499251
3,7,0.389437765379326,7.151250214138498
4,1,0.372703052360177,6.795716926347782
4,2,0.371919231600266,6.702067465669061
4,3,0.384471878642408,6.531895537303236
4,4,0.381063572872347,6.655063569783731
4,5,0.378316933191922,6.73192538673606
4,6,0.382548753123592,6.623234244652187
4,7,0.378732017027106,7.006794152440301
5,1,0.370616431171785,5.875234875747364
5,2,0.37387981905804,5.980780286653548
5,3,0.359316922738442,5.848815244095904
5,4,0.369976954556857,5.944057073252523
5,5,0.35258655788959,6.06385403973843
5,6,0.366206264066657,6.049069204711075
5,7,0.361833200391943,5.93800689709037
6,1,0.388455794703312,7.536252421107797
6,2,0.37719011457368,7.352488612578564
6,3,0.383048583421882,7.515424176829034
6,4,0.384203862091766,7.255674630587713
6,5,0.376864907639208,7.478618300517792
6,6,0.37862832445235,7.146791307692522
6,7,0.380379454274536,7.29551418212445
7,1,0.381343374156347,7.586480610071083
7,2,0.379362282878851,7.653262791265941
7,3,0.375327102959111,7.668473819567993
7,4,0.380215479237771,7.693537641635625
7,5,0.381379134267083,7.630202757177049
7,6,0.378710731825972,7.574238745087015
7,7,0.386488597795617,7.627209105659618
8,1,0.36856187516803,7.372564271146645
8,2,0.379074942853951,7.34509723874473
8,3,0.378116140712583,7.244658310364827
8,4,0.376833377394358,7.414876086150488
8,5,0.372137249165849,7.316218799778332
8,6,0.374256182744082,7.26008355996808
8,7,0.380928029478931,7.337025573897039
9,1,0.399507209220854,6.711958164530602
9,2,0.403044976970798,6.853116293684329
9,3,0.408881716815392,6.829456276142342
9,4,0.406264448941166,6.89250548415748
9,5,0.408890497985481,6.865701694130839
9,6,0.409571545384112,6.936296268986679
9,7,0.408239609036784,6.593447664642865
10,1,0.398256706813331,7.096180062305802
10,2,0.396924062336009,7.365694598468324
10,3,0.397966258000036,7.401467948604754
10,4,0.39966411026188,7.144869785363827
10,5,0.397352582540034,7.277557584101578
10,6,0.396286958019621,7.395644794037672
10,7,0.397762332096045,7.309205327316604
11,1,0.322895164665588,3.703553355478375
11,2,0.319988982087711,3.7092015606795
11,3,0.317852297301782,3.821429885730553
11,4,0.319040670992566,3.816826356810163
11,5,0.322128617323043,3.747974228717882
11,6,0.311614391937382,3.871165836523414
11,7,0.323457100398621,3.878069703965642
12,1,0.390839579091183,7.350226175593682
12,2,0.407567846696325,7.261071872990893
12,3,0.406128951523599,7.464613044962406
12,4,0.39088731564235,7.251439976139146
12,5,0.399419426995943,7.277167154263635
12,6,0.394463304934529,7.337312464163194
12,7,0.409487916374668,7.211414181456672
13,1,0.367095407598918,6.27179122874811
13,2,0.364862697173812,6.430789895189554
13,3,0.358693963585412,6.437104194669966
13,4,0.356583740689486,6.447864247959141
13,5,0.368480836104464,6.531423206291825
13,6,0.346892337546487,6.421720803407026
13,7,0.37122901467845,6.397624064245922
14,1,0.344543320094455,6.419338699711861
